Birds birds fly fly.
Cats cats purr purr.
Dogs dogs bark bark.
Trees trees grow grow.
Flowers flowers bloom bloom.
Stars stars shine shine.
Sun sun rises rises.
Rain rain down down.
Waves waves crash crash.
Leaves leaves rustle rustle.
Snow snow falls falls.
Wind wind blows blows.
Clouds clouds move move.
Frogs frogs croak croak.
Bees bees buzz buzz.
Ducks ducks quack quack.
Owls owls hoot hoot.
Cars cars honk honk.
Bells bells ring ring.
Fires fires burn burn.
Rivers rivers flow flow.
Apples apples fall fall.
Snowflakes snowflakes drift drift.
Rainbows rainbows appear appear.
Stars stars twinkle twinkle.
Hearts hearts beat beat.
Lions lions roar roar.
Elephants elephants trumpet trumpet.
Horses horses neigh neigh.
Clocks clocks tick tick.
Kettles kettles whistle whistle.
Doors doors creak creak.
