Birds fly birds fly.
Cats purr cats purr.
Dogs bark dogs bark.
Trees grow trees grow.
Flowers bloom flowers bloom.
Stars shine stars shine.
Sun rises sun rises.
Rain falls rain falls.
Waves crash waves crash.
Leaves rustle leaves rustle.
Snow falls snow falls.
Wind blows wind blows.
Clouds move clouds move.
Frogs croak frogs croak.
Bees buzz bees buzz.
Ducks quack ducks quack.
Owls hoot owls hoot.
Cars honk cars honk.
Bells ring bells ring.
Fires burn fires burn.
Rivers flow rivers flow.
Apples fall apples fall.
Snowflakes drift snowflakes drift.
Rainbows appear rainbows appear.
Stars twinkle stars twinkle.
Hearts beat hearts beat.
Lions roar lions roar.
Elephants trumpet elephants trumpet.
Horses neigh horses neigh.
Clocks tick clocks tick.
Kettles whistle kettles whistle.
Doors creak doors creak.
